,variable,alpha_pos,alpha_neg,beta,alpha_pos_hat,alpha_neg_hat,beta_hat,n_trials,n_blocks,n_sp,alpha_pos_level,alpha_neg_level,beta_level
162,alpha_neg,0.6,0.2222222222222222,5.0,0.2520110054154654,0.1774034855466883,6.1111817160790824,100,2,1,high,variable,medium
163,alpha_neg,0.6,0.3333333333333333,5.0,0.09279032065544386,0.28941277207682947,11.110890611056881,100,2,1,high,variable,medium
164,alpha_neg,0.6,0.4444444444444444,5.0,0.6290090649360349,0.32479266576003263,5.144231144492693,100,2,1,high,variable,medium
165,alpha_neg,0.6,0.5555555555555556,5.0,0.6076008853906513,0.5850594912290523,5.653907210340495,100,2,1,high,variable,medium
166,alpha_neg,0.6,0.6666666666666666,5.0,1.0,0.9086478973965424,2.9507084290610495,100,2,1,high,variable,medium
167,alpha_neg,0.6,0.7777777777777777,5.0,0.8416347209453361,0.681339779940194,4.563530708030293,100,2,1,high,variable,medium
168,alpha_neg,0.6,0.8888888888888888,5.0,1.0,0.8267084093392657,4.141128546352966,100,2,1,high,variable,medium
169,alpha_neg,0.6,1.0,5.0,0.5527456405695367,1.0,4.430976735844431,100,2,1,high,variable,medium
170,alpha_neg,0.6,0.0,10.0,0.31941120574728804,0.29260478949888086,2.2951751618274767,100,2,1,high,variable,high
171,alpha_neg,0.6,0.1111111111111111,10.0,0.7356972869968601,0.28810797451691383,4.345806152109708,100,2,1,high,variable,high
172,alpha_neg,0.6,0.2222222222222222,10.0,0.5889805881963394,0.27024418632133823,8.191590066071452,100,2,1,high,variable,high
173,alpha_neg,0.6,0.3333333333333333,10.0,0.4177888228815933,0.2952220007510857,10.157362688014926,100,2,1,high,variable,high
174,alpha_neg,0.6,0.4444444444444444,10.0,0.6254638191825227,0.3441953089729626,12.521794437867367,100,2,1,high,variable,high
175,alpha_neg,0.6,0.5555555555555556,10.0,0.3963058660606284,0.4609058241867642,11.208469400255717,100,2,1,high,variable,high
176,alpha_neg,0.6,0.6666666666666666,10.0,0.5134894062215926,0.6876905893459323,11.8171262046132,100,2,1,high,variable,high
177,alpha_neg,0.6,0.7777777777777777,10.0,0.8893307161011084,0.8097308860293059,8.993850841655743,100,2,1,high,variable,high
178,alpha_neg,0.6,0.8888888888888888,10.0,0.5352842348798149,0.8189122040668421,10.471082133330173,100,2,1,high,variable,high
179,alpha_neg,0.6,1.0,10.0,0.300118355782568,0.9638899597030088,20.0,100,2,1,high,variable,high
180,beta,0.1,0.1,1.0,0.012061374253697304,0.1033138184092189,20.0,100,2,1,low,low,variable
181,beta,0.1,0.1,2.0,1.0,0.32837853413855767,0.0,100,2,1,low,low,variable
182,beta,0.1,0.1,3.0,0.15887508150059323,0.17240351843893847,1.6576865666198386,100,2,1,low,low,variable
183,beta,0.1,0.1,4.0,0.0,0.0,0.0,100,2,1,low,low,variable
184,beta,0.1,0.1,5.0,0.19813609574379604,0.11925096020076861,4.5026786509523316,100,2,1,low,low,variable
185,beta,0.1,0.1,6.0,0.211894835015516,0.15390542756601983,4.646336109974758,100,2,1,low,low,variable
186,beta,0.1,0.1,7.0,0.15973734220660285,0.19137298687976373,5.897985935774987,100,2,1,low,low,variable
187,beta,0.1,0.1,8.0,0.01729832976161144,0.06110682963556238,20.0,100,2,1,low,low,variable
188,beta,0.1,0.1,9.0,0.15775774600735382,0.16689076031989813,7.073869874386122,100,2,1,low,low,variable
189,beta,0.1,0.1,10.0,0.3104249897779978,0.11639841326480235,5.415880813657496,100,2,1,low,low,variable
190,beta,0.1,0.3,1.0,0.0,0.0,0.0,100,2,1,low,medium,variable
191,beta,0.1,0.3,2.0,0.0,0.0,0.0,100,2,1,low,medium,variable
192,beta,0.1,0.3,3.0,0.0,0.0,0.0,100,2,1,low,medium,variable
193,beta,0.1,0.3,4.0,0.0,0.0,0.0,100,2,1,low,medium,variable
194,beta,0.1,0.3,5.0,0.0,0.0,0.0,100,2,1,low,medium,variable
195,beta,0.1,0.3,6.0,0.4771659285121759,0.24985517277097935,3.1500482143799426,100,2,1,low,medium,variable
196,beta,0.1,0.3,7.0,0.03918599331760921,0.401870009397704,20.0,100,2,1,low,medium,variable
197,beta,0.1,0.3,8.0,0.03076468366141863,0.41197878389170134,20.0,100,2,1,low,medium,variable
198,beta,0.1,0.3,9.0,0.0,0.0,0.0,100,2,1,low,medium,variable
199,beta,0.1,0.3,10.0,0.0,0.0,0.0,100,2,1,low,medium,variable
200,beta,0.1,0.6,1.0,0.0,0.0,0.0,100,2,1,low,high,variable
201,beta,0.1,0.6,2.0,0.006646171818097477,0.9778297224838033,20.0,100,2,1,low,high,variable
202,beta,0.1,0.6,3.0,0.34546665296998963,0.053168790980005515,3.2549524122758773,100,2,1,low,high,variable
203,beta,0.1,0.6,4.0,0.0,0.0,0.0,100,2,1,low,high,variable
204,beta,0.1,0.6,5.0,0.0,0.0,0.0,100,2,1,low,high,variable
205,beta,0.1,0.6,6.0,0.026090114303479437,0.6335275694120689,20.0,100,2,1,low,high,variable
206,beta,0.1,0.6,7.0,0.0384116903742962,0.7595770340871124,20.0,100,2,1,low,high,variable
207,beta,0.1,0.6,8.0,0.0,0.0,0.0,100,2,1,low,high,variable
208,beta,0.1,0.6,9.0,0.4467397845657249,0.917687954696168,3.4966135370266866,100,2,1,low,high,variable
209,beta,0.1,0.6,10.0,0.05734866066651992,0.538913588329457,20.0,100,2,1,low,high,variable
210,beta,0.3,0.1,1.0,0.8940567570949743,1.0,0.7213215992864672,100,2,1,medium,low,variable
211,beta,0.3,0.1,2.0,0.0,0.0,0.0,100,2,1,medium,low,variable
212,beta,0.3,0.1,3.0,0.1313957082543927,0.1405049197804828,3.6040921779513306,100,2,1,medium,low,variable
213,beta,0.3,0.1,4.0,0.12712540599041733,0.6201875794751599,4.803210742897039,100,2,1,medium,low,variable
214,beta,0.3,0.1,5.0,0.3296406981210253,0.12521387005114637,3.7823835685940024,100,2,1,medium,low,variable
